Id,Label,Category,#photos,#videos,#replies,#retweets,#likes
351,mamidmrll,Other,1,0,0,0,0
352,vgnpnr,Other,0,0,0,1,3
353,ruh_hassasi,Other,0,0,0,0,1
354,niyazituran1,Other,1,0,0,0,0
355,mehmetsezer01,Person,0,0,0,6,12
356,albayrakmobile,Other,1,0,0,0,7
357,swayinthewoods,Other,0,0,0,0,0
358,borsacihayati,Other,0,0,1,0,0
359,gelecekegitimde,Person,1,0,3,53,478
360,abuyukgumus,Other,1,0,4,248,916
361,yunuskayhan61,Person,1,0,0,14,20
362,arsiv_affetmez,Other,1,0,1,0,4
363,eroloztamur,Person,0,0,0,7,35
364,foxhaber,Media,0,1,5,9,190
365,fedaime,Other,0,0,1,0,0
366,temizrize,Other,1,0,0,0,4
367,sezginkrtal,Person,0,0,0,0,0
368,yoltv,Media,0,0,0,2,6
369,alimuratkirik,Person,1,0,2,7,30
370,neyikastediyor,Other,1,0,0,0,0
371,niigum1,Other,1,0,0,0,1
372,birgunelbetbeee,Other,0,1,1,0,0
373,elazigeczacilar,Other,1,0,0,1,6
374,muzafferbaca1,Other,0,0,0,3,2
375,esrahande41,Person,0,1,0,0,17
376,hasanaltinell,Other,1,0,0,1,12
377,cursebru,Other,0,0,0,0,1
378,cnrbldn,Govermental,1,0,0,0,1
379,isik_sukru,Other,0,0,0,0,1
380,emineyuksel1971,Other,0,0,0,0,0
381,muratyasa,Person,1,0,0,1,12
382,dua_ysa,Other,0,0,1,0,1
383,sergiopan5555,Other,1,0,0,0,0
384,istanbuldanhab6,Other,0,0,0,0,3
385,largo_turner,Other,0,0,0,0,0
386,tahaburakyavuz,Person,0,0,0,0,10
387,diyadinn1903,Other,1,0,0,6,24
388,nurtennurten17,Other,0,0,0,0,0
389,emineatalay1453,Other,1,0,0,0,0
390,recepbudakd,Person,0,0,1,0,1
391,kocakkgul,Other,0,0,0,0,1
392,dilekim__,Other,0,0,0,0,3
393,sukutualemm,Other,0,0,1,1,10
394,omerduymac,Person,0,0,0,0,1
395,muhammetakbas,Person,0,1,0,0,0
396,aynurhodaman1,Other,1,0,0,0,4
397,mustafakynk,Person,0,0,0,0,0
398,genckizilay34sr,Institutional,1,0,0,0,2
399,mehmetgunertr,Person,1,0,0,0,1
400,nurten63719769,Other,0,0,0,0,1
401,genckizilay34bv,Institutional,1,0,0,0,1
402,erkanvarol0,Other,1,0,1,0,1
403,bykoflaz,Other,0,0,1,0,4
404,koridord,Other,0,0,3,0,18
405,arkinsuat,Other,1,0,1,4,12
406,mstblby,Other,1,0,2,0,1
407,msaruhan2023,Other,1,0,0,0,0
408,besiktascomtr,Other,0,0,0,1,0
409,aydinlikgazete,Media,1,0,1,3,4
410,ncl3333,Other,0,0,0,3,7
411,asimbalci,Other,1,0,0,28,117
412,ayferrc1,Other,0,0,0,0,0
413,aysun_erkul,Other,0,0,1,0,1
414,genckizilay34as,Institutional,1,0,3,0,4
415,affanorhan,Person,0,0,1,1,10
416,fatosu76,Other,1,0,0,1,8
417,acarti56,Other,1,0,0,5,14
418,superior1prsn,Other,0,0,0,0,0
419,mlh_uslu,Other,0,0,0,0,2
420,tmmobjmo,Other,0,0,0,0,4
421,furkn1511,Other,0,1,0,1,18
422,sanlirahmet_der,Person,0,1,0,13,15
423,bayrakgenc,Other,0,0,0,3,3
424,mesutcaca,Other,1,0,0,1,28
425,etlecveysel,Other,1,0,0,0,0
426,idriscolak,Other,1,0,0,0,0
427,osmanay13831917,Other,0,0,0,1,3
428,imalakkashif,Other,0,0,0,0,0
429,drazizsumer,Other,0,0,2,0,38
430,hnlrhnlr,Other,0,0,0,0,0
431,flybombs,Other,0,1,2,9,13
432,ak_yavuzturk,Other,1,0,0,6,16
433,rabialacin4,Other,0,0,0,0,2
434,ftmvnc,Other,1,0,0,0,0
435,glbataraf,Other,1,0,0,0,0
436,iaukampus,Other,1,0,0,2,13
437,malatyabeltr,Govermental,1,0,0,9,61
438,dijitalson,Media,0,0,0,0,0
439,ahboztas,Other,1,0,0,5,47
440,edirnegazi,Other,0,1,0,0,4
441,musthe35,Other,0,0,0,1,1
442,ak_atifbey,Other,1,0,0,5,18
443,vural_bozoglu,Other,0,0,0,0,0
444,filits,Other,0,0,0,0,1
445,kizilayvan,Institutional,1,0,0,3,27
446,fsevgili,Other,0,0,2,5,58
447,taksisikayeti,Other,0,1,4,46,55
448,sbhtndvcgl,Other,1,0,0,0,4
449,a_turkmen34,Other,0,1,5,40,53
450,farukkilic47,Other,1,0,1,52,132
451,ecemecrin,Person,0,0,0,0,2
452,uslunail,Other,1,0,0,2,4
453,alikeskin_tr,Person,1,0,3,11,188
454,bilgehanhoca,Other,0,0,0,0,0
455,irfanaydin64,Other,1,0,0,0,1
456,tcumurat,Person,0,0,0,0,0
457,abdul_kadir_bal,Other,0,0,0,1,0
458,sevdaerdan,Other,0,0,0,8,32
459,mustafanurigrsy,Person,0,0,0,0,0
460,anlakbinnaz,Other,0,0,0,0,0
461,malatyabelsos,Other,1,0,0,0,0
462,kirklarelitso,Other,1,0,0,0,12
463,eryky61,Other,1,0,0,0,1
464,gezen_yatirimci,Other,0,0,0,0,0
465,ylmazbekir1907,Other,0,0,0,0,4
466,sonhabersamsun,Media,0,0,0,0,2
